datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
01/01/2020,24.1,12.9,17.4,24.1,12.9,17.4,6.4,50.4,0,0,0,,0,0,58.3,31.7,162.5,1018.2,24,12.9,218.9,19,8,,2021-02-04T07:10:08,2021-02-04T18:31:07,0.75,Clear,Clear conditions throughout the day.,clear-day,"76726099999,76675399999,76679399999,MMCB,76680099999,MMMX,76675099999,MMTO"
02/01/2020,22,10,15.8,22,7.7,15.7,5.8,53.7,0,0,0,,0,0,69.5,31.5,182,1014.3,59.8,15.5,171.9,14.8,7,,2021-02-05T07:09:45,2021-02-05T18:31:39,0.78,Clear,Clear conditions throughout the day.,clear-day,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,76675099999,MMMX"
03/01/2020,25,2.1,14.8,25,2.1,14.7,1.7,44.1,0,0,0,,0,0,28.8,22.3,141.8,1019.3,71.2,15.6,185.1,15.9,7,,2021-02-06T07:09:21,2021-02-06T18:32:11,0.82,Clear,Clear conditions throughout the day.,clear-day,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMSM,MMTO,MMMX,76675099999"
04/01/2020,18,0.7,10.7,18,0.7,10.4,2.2,57.7,0,0,0,,0,0,35.3,15.5,1.9,1025,37.2,9.1,206.1,17.9,8,,2021-02-07T07:08:56,2021-02-07T18:32:43,0.86,Clear,Clear conditions throughout the day.,clear-day,"76675399999,76679399999,MMCB,76680099999,remote,MMMX,76675099999,MMTO"
05/01/2020,23,2.9,12,23,0.4,11.1,-2.6,42.2,0,0,0,,0,0,26.6,11.2,39.5,1027.9,11.4,15,226.2,19.6,8,,2021-02-08T07:08:30,2021-02-08T18:33:14,0.89,Clear,Clear conditions throughout the day.,clear-day,"76726099999,76675399999,76679399999,MMCB,76680099999,remote,MMTO,MMMX,76675099999"
06/01/2020,23.9,0,12.7,23.9,0,12.4,-1.4,43.9,0,0,0,,0,0,19.1,14.8,34.6,1024.1,16.1,10.1,232.1,20.1,8,,2021-02-09T07:08:02,2021-02-09T18:33:44,0.93,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,76675099999,MMTO"
07/01/2020,24,5.9,13.6,24,3.9,13.5,-4.4,32.5,0,0,0,,0,0,33.8,18.4,7.4,1025.7,44,14,232.5,20.1,8,,2021-02-10T07:07:34,2021-02-10T18:34:14,0.96,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMTO,MMMX,76675099999"
08/01/2020,21.2,2.8,11.8,21.2,1.2,11.5,1.5,53.3,0,0,0,,0,0,23.4,24.1,105.5,1024.8,14.9,9,227.9,19.7,8,,2021-02-11T07:07:04,2021-02-11T18:34:43,0,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"MMCB,remote,MMMX,MMTO"
09/01/2020,25,1.1,13.5,25,-1.4,13.3,1,46.9,0,0,0,,0,0,24.1,22.3,127.3,1022.8,21.5,10,232.6,20.1,8,,2021-02-12T07:06:34,2021-02-12T18:35:12,0.03,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"MMCB,remote,MMTO,MMMX"
10/01/2020,24.1,2.1,14,24.1,2.1,13.7,2.5,49.6,0,0,0,,0,0,33.8,22.3,179.9,1018.4,10.6,12.7,235.8,20.4,8,,2021-02-13T07:06:02,2021-02-13T18:35:41,0.06,Clear,Clear conditions throughout the day.,clear-day,"76675399999,76679399999,76680099999,MMCB,remote,76675099999,MMTO,MMMX"
